Thiết bị,Đổi tên,Loại,Nhà,Phòng
Cua cong,Cửa Cổng,Cảm biến,52,Nhà Dưới
Cửa Hông,Cửa Hông,Cảm biến,52,Nhà Dưới
Công Tắc Giữa Nhà,Công Tắc Giữa Nhà,Đèn,52,Nhà Dưới
Công Tắc 1 - Giữa nhà,Giữa nhà,Đèn,52,Nhà Dưới
Công Tắc Cửa Hông,Cửa Hông,Đèn,52,Nhà Dưới
Công Tắc Lầu,Lầu,Đèn,52,Nhà Dưới
Bluetooth Gateway,Bluetooth Gateway,Công Tắc,264A/6,Trệt
Cửa Trong,Cửa Trong,Cảm biến,52,Nhà Dưới
Công Tắc Giường,Giường,Đèn,52,Nhà Dưới
Nhà Gỗ - Ổ cắm 1,Nhà Gỗ 1,Đèn,52,Nhà Gỗ
3 Công Tắc - Nhà Gỗ,Nhà Gỗ 3,Đèn,52,Nhà Gỗ
Cửa Nhà Gỗ,Cửa Nhà Gỗ,Cảm biến,52,Nhà Gỗ
Cảm biến Nhà xưởng -,Nhà Xưởng,Cảm biến,52,Nhà Xưởng
Wifi,Wifi,Công Tắc,124,Trệt
Củ Sạc,Củ Sạc,Công Tắc,124,Trệt
Smart IR,Smart IR,Công Tắc,124,Trệt
Casper,Casper,Quạt,124,Trệt
Cửa Rào,Cửa Rào,Cảm biến,264A/6,Sân
Cau Thang Button,Cầu Thang,Đèn,264A/6,Trệt
Camera Ngoai,Camera Ngoài,Công Tắc,264A/6,Sân
Smart IR - Tret,Smart IR - Trệt,Công Tắc,264A/6,Trệt
Wc Mi,Wc Mi,Công Tắc,264A/6,Sân
Bep Button,Bếp,Đèn,264A/6,Trệt
Food Mi - pet feeder,Food Mi - pet feeder,Công Tắc,264A/6,Trệt
Zigbee Gateway Hub,Zigbee Gateway Hub,Công Tắc,264A/6,Trệt
TV - smart plug,Ổ cắm TV LG,Công Tắc,264A/6,Trệt
Camera Trong,Camera Trong Sân,Công Tắc,264A/6,Sân
Multifunction alarm,Multifunction alarm,Cảm biến,264A/6,Sân
Smart IR - Lau 1,Smart IR - Lau 1,Công Tắc,264A/6,Tầng 1
Đèn,Đèn Trệt,Đèn,264A/6,Sân
Cau Thang Tang 1,Cầu thang 1,Đèn,264A/6,Tầng 1
Cua Chinh,Cửa Chính,Cảm biến,264A/6,Trệt
Cua Lau 1,Cửa Ban Công,Cảm biến,264A/6,Tầng 1
Cua Chinh,Cửa Chính,Cảm biến,264A/6,Trệt
Cua Cong,Cửa Cổng,Cảm biến,264A/6,Sân
Close All Button,Close All Button,Công Tắc,264A/6,Trệt
TV 2,TV 2,Công Tắc,264A/6,Trệt
DIY,DIY,Quạt,264A/6,Trệt
Asanzo,Asanzo,Quạt,264A/6,Trệt
Air Conditioning 3,Air Conditioning,Quạt,264A/6,Trệt
Purifier1,Purifier1,Quạt,264A/6,Tầng 1
TV,TV,Công Tắc,264A/6,Tầng 1
Temp & Humidity Sensor 2,Temp & Humidity Sensor 2,Cảm biến,264A/6,Trệt
Bluetooth Gateway,Bluetooth Gateway,Công Tắc,264A/6,Trệt
LED TV,LED TV,Công Tắc,264A/6,Trệt
Air,Air,Quạt,264A/7,Tầng 1
